T           beta         U/N          C/N         U_t          C_t         err_U       err_C
4.000E+00   2.500E-01    -2.449E-01   5.391E-02   -2.447E-01   5.869E-02   1.056E-03   8.156E-02
3.800E+00   2.632E-01    -2.574E-01   6.539E-02   -2.570E-01   6.460E-02   1.574E-03   1.219E-02
3.600E+00   2.778E-01    -2.700E-01   7.042E-02   -2.706E-01   7.143E-02   2.063E-03   1.417E-02
3.400E+00   2.941E-01    -2.849E-01   7.562E-02   -2.856E-01   7.935E-02   2.459E-03   4.704E-02
3.200E+00   3.125E-01    -3.032E-01   8.493E-02   -3.024E-01   8.862E-02   2.477E-03   4.158E-02
3.000E+00   3.333E-01    -3.212E-01   9.718E-02   -3.212E-01   9.953E-02   1.394E-04   2.355E-02
2.800E+00   3.571E-01    -3.426E-01   1.128E-01   -3.424E-01   1.125E-01   7.764E-04   2.782E-03
2.600E+00   3.846E-01    -3.641E-01   1.260E-01   -3.663E-01   1.279E-01   6.115E-03   1.509E-02
2.400E+00   4.167E-01    -3.933E-01   1.411E-01   -3.937E-01   1.465E-01   1.068E-03   3.717E-02
2.200E+00   4.545E-01    -4.250E-01   1.723E-01   -4.252E-01   1.690E-01   5.328E-04   1.968E-02
2.000E+00   5.000E-01    -4.623E-01   2.052E-01   -4.617E-01   1.964E-01   1.332E-03   4.473E-02
1.800E+00   5.556E-01    -5.027E-01   2.355E-01   -5.042E-01   2.298E-01   2.987E-03   2.475E-02
1.600E+00   6.250E-01    -5.540E-01   2.819E-01   -5.540E-01   2.702E-01   3.451E-05   4.317E-02
1.400E+00   7.143E-01    -6.110E-01   3.207E-01   -6.127E-01   3.179E-01   2.800E-03   8.778E-03
1.200E+00   8.333E-01    -6.822E-01   3.330E-01   -6.816E-01   3.708E-01   9.426E-04   1.020E-01
1.000E+00   1.000E+00    -7.620E-01   3.801E-01   -7.608E-01   4.196E-01   1.484E-03   9.409E-02
8.000E-01   1.250E+00    -8.492E-01   4.211E-01   -8.474E-01   4.377E-01   2.061E-03   3.788E-02
6.000E-01   1.667E+00    -9.295E-01   3.623E-01   -9.302E-01   3.692E-01   7.810E-04   1.874E-02
4.000E-01   2.500E+00    -9.750E-01   5.462E-01   -9.856E-01   1.660E-01   1.083E-02   2.290E+00
2.000E-01   5.000E+00    -9.799E-01   1.289E+00   -9.989E-01   4.535E-03   1.901E-02   2.831E+02
